Date,Gross Domestic Product,GDP Oil Activities,GDP Non-Oil Activities,observation_date,exports_percent_gdp,Exports,CPI
2010-Q1,480428.86,201371.13,208194.93,01/01/2010,45.39850065,21810749.91,80.87858334
2010-Q2,477912.07,212310.07,199158.91,01/04/2010,47.99941522,22939499.88,81.90479851
2010-Q3,479432.42,210994.12,204003.49,01/07/2010,47.23241282,22644749.98,83.44839716
2010-Q4,543004.01,250929.96,198283.07,01/10/2010,49.32422095,26783249.77,84.53447489
2011-Q1,603134.11,283149.93,240588.73,01/01/2011,50.55592041,30492000.06,86.53866667
2011-Q2,637197.46,319401.35,230705.61,01/04/2011,53.77846301,34267500.03,87.19096817
2011-Q3,635905.72,327679.89,234437.07,01/07/2011,55.4445395,35257499.81,87.84326968
2011-Q4,661142.37,340735.82,231088.27,01/10/2011,55.59865241,36758624.82,88.46450921
2012-Q1,715423.61,367111.92,268536.12,01/01/2012,54.0644723,38678999.95,88.744067
2012-Q2,687673.9,345935.03,255571.64,01/04/2012,53.4421182,36750749.85,89.45849246
2012-Q3,686867.91,327283.22,258554.82,01/07/2012,50.43709908,34643624.83,90.35928978
2012-Q4,691972.02,330333.23,257468.46,01/10/2012,51.34835537,35531625.19,91.50858291
2013-Q1,707855.93,318793.42,298277.34,01/01/2013,47.86514267,33881625.08,92.76666667
2013-Q2,702998.47,317987.17,282989.59,01/04/2013,47.90355388,33676125.09,92.79
2013-Q3,707458.1,324355.46,286572.8,01/07/2013,51.801831,36647624.94,93.32333333
2013-Q4,708679.54,323297.58,285474.68,01/10/2013,51.85224481,36746625,93.91
2014-Q1,754283.63,327155.77,326468.79,01/01/2014,46.80169165,35301749.86,94.59
2014-Q2,739851.69,324607.35,311180.74,01/04/2014,47.00046689,34773374.86,95.21666667
2014-Q3,731515.19,303817.2,317121.74,01/07/2014,45.6106388,33364875.1,95.52333333
2014-Q4,649121.79,234910.58,314364.12,01/10/2014,38.47101656,24972375.13,95.79666667
2015-Q1,654710.35,163823.38,347095.72,01/01/2015,30.13756393,19731375.03,95.96
2015-Q2,652337.08,192997.26,334515.58,01/04/2015,33.40949112,21794249.88,96.23666667
2015-Q3,619818.18,159034.1,338921.32,01/07/2015,29.40378434,18225000.1,96.57666667
2015-Q4,583700.82,136359.71,336757.86,01/10/2015,28.40539094,16580249.98,96.95
2016-Q1,594201.06,109462.65,354955.37,01/01/2016,24.05818647,14295399.9,98.42
2016-Q2,623176.59,149079.56,344677.98,01/04/2016,27.89498257,17383500.11,98.52333333
2016-Q3,625046.18,157133.14,348753.99,01/07/2016,28.0706653,17545462.12,98.58
2016-Q4,655075.72,172165.13,347894.55,01/10/2016,30.04877353,19684221.95,98.18
2017-Q1,657878.39,178685.86,362815.44,01/01/2017,31.52159641,20737377.1,97.81666667
2017-Q2,650512.9,170875.92,352569.9,01/04/2017,29.1659523,18972828.21,97.88333333
2017-Q3,669249.64,174719.72,363192.84,01/07/2017,29.32963548,19628847.98,97.82333333
2017-Q4,703589.18,203183.89,360731.21,01/10/2017,33.89630808,23849075.61,96.88
2018-Q1,749238.65,236094.07,362205.65,01/01/2018,32.59775648,24423499.06,100.74
2018-Q2,798575.62,273781.99,356397.26,01/04/2018,35.19942526,28109402.85,100.24
2018-Q3,801570.61,284012.58,366036.47,01/07/2018,35.9833101,28843163.83,99.98333333
2018-Q4,825304.33,284269.9,367796.36,01/10/2018,35.15549537,29013982.55,99.03666667
2019-Q1,755656.83,223598.62,371497.26,01/01/2019,32.96301514,24908727.53,97.51333333
2019-Q2,788245,241462.4,373455.61,01/04/2019,32.0480319,25261700.9,97.53333333
2019-Q3,786489.26,236970.7,385509.02,01/07/2019,29.99071157,23587372.55,98.16333333
2019-Q4,814226.55,247756.49,388665.04,01/10/2019,29.89761902,24343435.19,98.41666667
2020-Q1,722186.58,179810.81,373685.31,01/01/2020,26.54067238,19167317.42,98.63
2020-Q2,598320.82,96839.15,332237.65,01/04/2020,19.9986226,11965592.28,98.47
2020-Q3,699669.48,161716.01,367364.94,01/07/2020,22.95071964,16057918.08,104.0633333
2020-Q4,733340.06,165833.92,381787.21,01/10/2020,24.5511864,18004368.51,103.9566667
2021-Q1,745677.5,177855.52,383510.02,01/01/2021,27.89833304,20803159.24,103.8633333
2021-Q2,776911.96,208937.71,370339.94,01/04/2021,29.88479344,23217853.44,104.08
2021-Q3,852652.15,251854.93,409230.72,01/07/2021,32.08733124,27359331.97,104.5266667
2021-Q4,902843.83,281279.96,419588.99,01/10/2021,35.65047967,32186815.61,105.06
2022-Q1,979448.46,364225.94,419955.22,01/01/2022,37.48066311,36710377.76,105.5366667
2022-Q2,1088322.08,469554.96,421434.82,01/04/2022,39.30853083,42780342.03,106.4566667
2022-Q3,1065228.57,422049,448203.45,01/07/2022,37.46200271,39905595.58,107.57
2022-Q4,1024144.08,352598.79,464898.65,01/10/2022,33.97741743,34797770.92,108.2966667
2023-Q1,1011430.2,327564.04,471809.45,01/01/2023,31.18512046,31541572.62,108.72
2023-Q2,978486.94,306272.64,463142.2,01/04/2023,30.1308405,29482633.92,109.37
2023-Q3,996833.06,318787.66,466726.24,01/07/2023,30.12877711,30033361.08,109.7033333