Date,Total Exports,Oil Exports,Non-oil Exports
2015 / 01,58448.22427,41826.36185,16621.86242
2015 / 02,61615.75027,47090.43729,14525.31298
2015 / 03,72785.73031,56199.26007,16586.47025
2015 / 04,73786.92517,57298.7233,16488.20187
2015 / 05,76856.24343,61232.72678,15623.51666
2015 / 06,70018.7771,54172.05764,15846.71947
2015 / 07,68751.47778,52517.15841,16234.31937
2015 / 08,61573.23264,45288.69473,16284.53791
2015 / 09,54631.74885,40988.33564,13643.4132
2015 / 10,55401.32675,39987.00457,15414.32218
2015 / 11,55961.21068,40120.93219,15840.27849
2015 / 12,53482.41527,36826.87003,16655.54524
2016 / 01,42228.61529,29230.95148,12997.66381
2016 / 02,44353.44835,30320.78537,14032.66298
2016 / 03,53603.57313,37606.67456,15996.89857
2016 / 04,52645.79556,38456.81672,14188.97884
2016 / 05,63194.66846,46622.20112,16572.46734
2016 / 06,60100.49949,45237.77414,14862.72535
2016 / 07,57558.57861,45122.377,12436.20161
2016 / 08,60434.63696,44343.59211,16091.04485
2016 / 09,57460.98342,43924.37077,13536.61265
2016 / 10,67333.28878,51513.0999,15820.18888
2016 / 11,61469.06523,46219.61381,15249.45142
2016 / 12,68039.86608,52145.95371,15893.91237
2017 / 01,69719.94119,54917.78229,14802.1589
2017 / 02,66377.75174,53000.89619,13376.85555
2017 / 03,71276.07655,53957.10737,17318.96918
2017 / 04,67148.29838,51693.8753,15454.42308
2017 / 05,63727.45303,47077.23581,16650.21722
2017 / 06,58852.53151,45607.04945,13245.48206
2017 / 07,64155.7319,47985.11684,16170.61505
2017 / 08,68118.80333,50305.64166,17813.16167
2017 / 09,64013.94418,51119.32342,12894.62075
2017 / 10,76862.45631,58919.54648,17942.90983
2017 / 11,80685.506,61725.55086,18959.95514
2017 / 12,80942.79372,62109.94084,18832.85288
2018 / 01,84238.51697,66197.9375,18040.57947
2018 / 02,77549.69669,59262.92367,18286.77302
2018 / 03,82446.77829,62189.60414,20257.17415
2018 / 04,89650.31237,68778.30623,20872.00614
2018 / 05,96399.46915,74403.10629,21996.36285
2018 / 06,95044.24584,77159.75969,17884.48614
2018 / 07,98596.84933,77057.4275,21539.42184
2018 / 08,92557.85795,75919.41375,16638.4442
2018 / 09,97276.93263,77968.46334,19308.46929
2018 / 10,105900.009,85879.3395,20020.66951
2018 / 11,93856.72471,73666.58746,20190.13726
2018 / 12,90383.09305,69975.0005,20408.09255
2019 / 01,82804.22606,63404.7671,19399.45896
2019 / 02,78259.62684,59728.64328,18530.98356
2019 / 03,88023.42368,66714.5834,21308.84028
2019 / 04,88736.28285,68173.7114,20562.57145
2019 / 05,86707.6738,68143.45459,18564.2192
2019 / 06,77173.05323,59505.29728,17667.75595
2019 / 07,81901.04148,62897.98703,19003.05445
2019 / 08,76642.84844,59844.45818,16798.39026
2019 / 09,77329.83569,57263.66411,20066.17158
2019 / 10,76761.81723,57817.13264,18944.68459
2019 / 11,80833.7917,62463.81582,18369.97587
2019 / 12,85838.74233,65873.69264,19965.04969
2020 / 01,82274.71282,65305.28131,16969.43152
2020 / 02,63846.11599,47818.59854,16027.51745
2020 / 03,45552.3451,29893.30861,15659.03649
2020 / 04,38138.51836,24727.67681,13410.84156
2020 / 05,37335.25525,24423.07671,12912.17854
2020 / 06,44182.1494,27380.59336,16801.55604
2020 / 07,51084.55291,33471.90152,17612.65139
2020 / 08,56119.72021,38021.52131,18098.1989
2020 / 09,53374.90701,35113.68609,18261.22091
2020 / 10,55901.98374,36985.43317,18916.55057
2020 / 11,58806.31625,38204.20187,20602.11438
2020 / 12,65335.38564,46393.05568,18942.32996
2021 / 01,69862.59658,50860.40587,19002.19072
2021 / 02,64584.61258,45913.80162,18670.81096
2021 / 03,73584.3834,51118.66781,22465.71559
2021 / 04,69252.13847,49215.11292,20037.02556
2021 / 05,78583.37147,56548.87771,22034.49376
2021 / 06,84343.02393,60652.11445,23690.90948
2021 / 07,88674.2648,67593.73188,21080.53292
2021 / 08,89714.18398,66728.61219,22985.57179
2021 / 09,95204.87115,69958.55968,25246.31147
2021 / 10,106009.4157,82142.84417,23866.57158
2021 / 11,108814.3773,80503.58093,28310.79636
2021 / 12,107044.3613,76981.79972,30062.56161
2022 / 01,109228.96,84610.90611,24618.05392
2022 / 02,115872.4206,90846.54912,25025.87144
2022 / 03,142002.3952,113060.9414,28941.45382
2022 / 04,137701.7052,109745.2885,27956.41674
2022 / 05,143003.615,115478.5292,27525.08584
2022 / 06,147098.102,116395.2925,30702.80951
2022 / 07,140148.3383,113006.1978,27142.14054
2022 / 08,133603.685,106804.501,26799.18402
2022 / 09,125303.931,100305.9829,24997.94814
2022 / 10,126247.0003,100669.4422,25577.55814
2022 / 11,112597.7928,89844.83826,22752.95452
2022 / 12,109132.9174,85515.796,23617.12143
2023 / 01,105467.5236,82282.21232,23185.31132
2023 / 02,96972.19726,76036.46994,20935.72732
2023 / 03,107020.0475,83558.77179,23461.27575
2023 / 04,102742.2487,82832.08948,19910.15924
2023 / 05,99038.57385,72331.71025,26706.8636
2023 / 06,93273.32645,73149.95374,20123.37271
2023 / 07,92644.12824,71318.46933,21325.65891
2023 / 08,102876.8024,77263.58486,25613.21757
2023 / 09,104094.8755,82949.28916,21145.58632
2023 / 10,103945.298,81413.35779,22531.94024
2023 / 11,95007.92273,72500.02158,22507.90115
2023 / 12,96986.18586,72043.57803,24942.60783
2024 / 01,94922.43074,71001.81247,23920.61827
2024 / 02,96173.28815,73441.2229,22732.06524
2024 / 03,103546.6053,79540.82555,24005.77977
2024 / 04,101378.5428,78614.55407,22763.98876
2024 / 05,104753.2531,75858.26726,28894.98588